Swimmer,F1200Y,F150Y,F1100Y,F4100Y,F2100Y,F2200Y,F1500Y,F5200Y,F3100Y,F4200Y,F3200Y,F11650Y,FLM50A,F2M50A,F3M50A,F4M50A,FLM50B,F2M50B,F3M50B,F4M50B,FLM50C,F2M50C,F3M50C,F4M50C,FLM50D,F2M50D,F3M50D,F4M50D,FLF50A,F1F50A,FLF50B,F1F50B,FLF50C,F1F50C,FLF50D,F1F50D
167013,377.67,25.06,54.88,197.64,189.14999999999998,395.46,944.1299999999999,425.61,218.82,397.26,473.34000000000003,3118.0199999999995,88.89,101.72999999999999,85.41,24.92,88.89,101.72999999999999,85.41,24.92,88.89,101.72999999999999,85.41,24.92,88.89,101.72999999999999,85.41,24.92,79.47,24.92,79.47,24.92,79.47,24.92,79.47,24.92
214963,377.67,80.69999999999999,174.78,197.64,189.14999999999998,131.82,944.1299999999999,136.12,65.77,397.26,143.2,3118.0199999999995,88.89,30.62,85.41,24.82,88.89,30.62,85.41,24.82,88.89,30.62,85.41,24.82,88.89,30.62,85.41,24.82,79.47,24.82,79.47,24.82,79.47,24.82,79.47,24.82
221480,125.89,24.31,53.15,58.79,189.14999999999998,395.46,944.1299999999999,425.61,218.82,397.26,473.34000000000003,3118.0199999999995,88.89,101.72999999999999,25.41,24.05,88.89,101.72999999999999,25.41,24.05,88.89,101.72999999999999,25.41,24.05,88.89,101.72999999999999,25.41,24.05,24.43,24.05,24.43,24.05,24.43,24.05,24.43,24.05
228451,116.94,80.69999999999999,53.45,57.58,54.76,117.11,944.1299999999999,122.27,69.67,397.26,473.34000000000003,3118.0199999999995,26.68,101.72999999999999,85.41,23.25,26.68,101.72999999999999,85.41,23.25,26.68,101.72999999999999,85.41,23.25,26.68,101.72999999999999,85.41,23.25,79.47,23.25,79.47,23.25,79.47,23.25,79.47,23.25
233487,112.56,24.81,52.37,55.08,63.05,395.46,944.1299999999999,124.53,68.32,124.42,150.69,3118.0199999999995,88.89,31.72,24.37,23.66,88.89,31.72,24.37,23.66,88.89,31.72,24.37,23.66,88.89,31.72,24.37,23.66,79.47,23.66,79.47,23.66,79.47,23.66,79.47,23.66
233650,114.53,24.2,53.09,197.64,189.14999999999998,395.46,944.1299999999999,425.61,218.82,397.26,473.34000000000003,3118.0199999999995,88.89,101.72999999999999,85.41,24.15,88.89,101.72999999999999,85.41,24.15,88.89,101.72999999999999,85.41,24.15,88.89,101.72999999999999,85.41,24.15,24.43,24.15,24.43,24.15,24.43,24.15,24.43,24.15
235482,108.83,23.52,50.41,58.94,189.14999999999998,395.46,944.1299999999999,425.61,218.82,397.26,473.34000000000003,3118.0199999999995,88.89,101.72999999999999,28.47,23.17,88.89,101.72999999999999,28.47,23.17,88.89,101.72999999999999,28.47,23.17,88.89,101.72999999999999,28.47,23.17,24.73,23.17,24.73,23.17,24.73,23.17,24.73,23.17
255871,115.0,80.69999999999999,174.78,197.64,57.6,395.46,301.82,123.35,66.03,397.26,137.35,3118.0199999999995,88.89,29.33,85.41,79.92,88.89,29.33,85.41,79.92,88.89,29.33,85.41,79.92,88.89,29.33,85.41,79.92,79.47,79.92,79.47,79.92,79.47,79.92,79.47,79.92
256775,377.67,80.69999999999999,174.78,197.64,189.14999999999998,395.46,944.1299999999999,132.69,68.42,397.26,146.29,3118.0199999999995,88.89,32.08,85.41,79.92,88.89,32.08,85.41,79.92,88.89,32.08,85.41,79.92,88.89,32.08,85.41,79.92,79.47,79.92,79.47,79.92,79.47,79.92,79.47,79.92
260001,114.71,80.69999999999999,56.88,197.64,189.14999999999998,395.46,296.33,131.16,67.92,397.26,473.34000000000003,1018.38,88.89,101.72999999999999,85.41,79.92,88.89,101.72999999999999,85.41,79.92,88.89,101.72999999999999,85.41,79.92,88.89,101.72999999999999,85.41,79.92,79.47,79.92,79.47,79.92,79.47,79.92,79.47,79.92
