,,200Y Free,50Y Free,100Y Free,100Y Fly,100Y Back,200Y Back,500Y Free,200Y IM,100Y Breast,200Y Fly,200Y Breast,1650Y Free,,1000Y Free,,,200Y Medley Relay Back,200Y Medley Relay Breast A,200Y Medley Relay Fly A,200Y Medley Relay Free A,,,,,,,,,,,,,200Y Free Relay Lead,200Y Free Relay Leg,,,,,
Swimmer,SwimmerName,F1200Y,F150Y,F1100Y,F4100Y,F2100Y,F2200Y,F1500Y,F5200Y,F3100Y,F4200Y,F3200Y,F11650Y,,,,,FLM50A,F2M50A,F3M50A,F4M50A,FLM50B,F2M50B,F3M50B,F4M50B,FLM50C,F2M50C,F3M50C,F4M50C,FLM50D,F2M50D,F3M50D,F4M50D,FLF50A,F1F50A,FLF50B,F1F50B,FLF50C,F1F50C,FLF50D
,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
167013,Katherine O'Shea,,25.06,54.88,,,,,,,,,,x,,,,,,,24.92,,,,,,,,,,,,,,24.92,,,,,
214963,Mary Weinstein,,24.91,,,,,,,65.77,,143.02,,x,,,,,30.62,,24.82,,30.62,,,,,,,,,,,,24.82,,,,,
221480,Megan Barpoulis,125.89,24.31,53.15,58.79,,,,,75.93,,,,x,,,,,,25.41,24.05,,,,,,,,,,,,,24.43,24.05,,,,,
228451,Julie Byrne,,,53.45,57.58,54.76,117.11,,122.27,,,,,x,,,,26.68,,,23.25,26.68,,,,,,,,,,,,,23.25,,,,,
233487,Lindsay Smalec,112.56,,52.37,55.08,,,,124.53,,124.42,,,x,,,,,31.72,24.37,23.66,,31.72,,,,,,,,,,,,23.66,,,,,
233650,Maura Mcmanus,114.53,24.2,53.09,,,,,,,,,,,,,,,,,24.15,,,,,,,,,,,,,24.43,24.15,,,,,
235482,Abigail Rosenberg,108.83,23.52,50.41,58.94,,,,,,,,,,,,,,,28.47,23.17,,,,,,,,,,,,,24.73,23.17,,,,,
255871,Maggie Wyngowski,115,,,,57.6,,301.82,123.35,66.03,,137.35,,,,,,,29.33,,,,29.33,,,,,,,,,,,,,,,,,
256775,Brooke Collins,,,,,,,,132.69,68.42,,146.29,,,,,,,32.08,,,,32.08,,,,,,,,,,,,,,,,,
260001,Abigail Merriman,114.71,,56.88,,,,296.33,131.16,67.92,,,1018.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
265562,Stephanie Boyd,114.32,24.53,52.69,,58.18,120.98,,126.6,,,,,,,,,28.1,,27.14,23.28,28.1,,,,,,,,,,,,24.53,23.28,,,,,
270043,Emma Hadley,,,,55.75,55.1,119.17,,127.38,,,,,,,,,25.38,,,25.16,25.38,,,,,,,,,,,,,25.16,,,,,
329465,Maddie Hartigan,109.41,23.9,51.67,58.57,,,289.16,,,125.72,,1004.99,,,,,,,,24.11,,,,,,,,,,,,,23.9,24.11,,,,,
