swimmer_id,name,All,M50,F11650Y,F1200Y,F2100Y,F3100Y,F4200Y,F150Y,F1100Y,F2200Y,F3200Y,F1500Y,F4100Y,F5200Y,F50
167013,Katherine O'Shea,,,,,,,,,,,,,0.0,,
214963,Mary Weinstein,,,,,,,,,,,,,0.0,,
221480,Megan Barpoulis,,,,,,,,,,,,,0.0,,
228451,Julie Byrne,,,,,,,,,,,,,0.0,,
233487,Lindsay Smalec,,,,,,,,,,,,,7.0,,
233650,Maura Mcmanus,,,,,,,,,,,,,0.0,,
235482,Abigail Rosenberg,,,,,,,,,,,,,0.0,,
255871,Maggie Wyngowski,,,,,,,,,,,,,0.0,,
256775,Brooke Collins,,,,,,,,,,,,,0.0,,
260001,Abigail Merriman,,,,,,,,,,,,,0.0,,
265562,Stephanie Boyd,,,,,,,,,,,,,0.0,,
270043,Emma Hadley,,,,,,,,,,,,,2.0,,
329465,Maddie Hartigan,,,,,,,,,,,,,0.0,,
330237,Emily Gorham,,,,,,,,,,,,,0.0,,
330324,Amanda Lauer,,,,,,,,,,,,,0.0,,
342607,Rachel Hazard,,,,,,,,,,,,,0.0,,
342611,Megan Koczur,,,,,,,,,,,,,0.0,,
344005,Isabella Smith,,,,,,,,,,,,,0.0,,
347298,Lindsey Bloom,,,,,,,,,,,,,0.0,,
356813,Meagan Hathaway,,,,,,,,,,,,,0.0,,
382148,Meghan Taner,,,,,,,,,,,,,0.0,,
395502,Alexis Lexi Faria,,,,,,,,,,,,,2.0,,
402879,Kelly Cattano,,,,,,,,,,,,,0.0,,
403012,Caroline Mayk,,,,,,,,,,,,,0.0,,
409578,Michaela Peil,,,,,,,,,,,,,0.0,,
489276,Paige Schoelkopf,,,,,,,,,,,,,,,
586800,Courtney Wolfgang,,,,,,,,,,,,,0.0,,
693090,Alaina Schumann,,,,,,,,,,,,,,,
839548,Vita Shabalow,,,,,,,,,,,,,,,
954945,Jessica Hurlburt,,,,,,,,,,,,,,,
