Swimmer,200F,50F,100F,100BF,100BS,200BS,500F,200IM,100BR,200BF,200BR,1650F,200F_R_leg,200F_R_lead,200M_R_BR,200M_R_BS,200M_R_BF,200M_R_F
195456,364.46999999999997,79.59,169.68,59.23,180.12,391.79999999999995,966.06,132.63,66.8,394.34999999999997,143.85,3319.26,72.9,79.59,86.13,29.97,83.64,84.33
197178,364.46999999999997,79.59,169.68,57.46,56.64,122.11,966.06,129.38,208.53000000000003,394.34999999999997,469.68,3319.26,72.9,79.59,26.72,100.83,83.64,84.33
213253,109.72,24.67,50.99,188.10000000000002,180.12,391.79999999999995,966.06,127.93,208.53000000000003,394.34999999999997,469.68,3319.26,23.84,24.67,86.13,100.83,83.64,23.84
233796,364.46999999999997,24.12,169.68,56.8,55.76,124.17,966.06,418.79999999999995,208.53000000000003,394.34999999999997,469.68,3319.26,23.65,24.12,25.96,100.83,83.64,23.65
233836,112.48,23.51,50.85,188.10000000000002,59.24,391.79999999999995,966.06,418.79999999999995,208.53000000000003,394.34999999999997,469.68,3319.26,72.9,23.51,86.13,100.83,83.64,23.11
256012,364.46999999999997,79.59,169.68,188.10000000000002,180.12,122.61,314.99,132.41,208.53000000000003,125.85,469.68,3319.26,72.9,79.59,86.13,100.83,83.64,84.33
271442,364.46999999999997,79.59,169.68,188.10000000000002,180.12,391.79999999999995,303.47,139.6,66.69,394.34999999999997,469.68,1055.16,72.9,79.59,86.13,100.83,83.64,84.33
271492,364.46999999999997,79.59,169.68,188.10000000000002,180.12,391.79999999999995,966.06,418.79999999999995,69.51,394.34999999999997,147.53,3319.26,72.9,79.59,86.13,33.61,83.64,84.33
273646,364.46999999999997,79.59,169.68,55.47,57.13,391.79999999999995,966.06,128.69,208.53000000000003,123.36,469.68,3319.26,72.9,79.59,86.13,100.83,25.25,84.33
273907,364.46999999999997,79.59,169.68,60.44,180.12,391.79999999999995,966.06,134.99,68.62,131.45,149.1,3319.26,72.9,79.59,86.13,100.83,83.64,84.33
282290,121.39,24.36,53.01,59.91,180.12,391.79999999999995,966.06,418.79999999999995,208.53000000000003,394.34999999999997,469.68,3319.26,23.78,24.36,28.71,100.83,83.64,23.78
291023,364.46999999999997,24.35,53.37,188.10000000000002,57.55,127.98,966.06,418.79999999999995,208.53000000000003,394.34999999999997,469.68,3319.26,72.9,24.35,28.08,100.83,83.64,84.33
323285,115.61,23.82,52.11,58.6,180.12,391.79999999999995,966.06,418.79999999999995,208.53000000000003,394.34999999999997,469.68,3319.26,23.94,23.82,86.13,100.83,83.64,23.94
330114,112.64,79.59,169.68,188.10000000000002,180.12,391.79999999999995,302.63,418.79999999999995,69.38,394.34999999999997,151.31,1050.1,72.9,79.59,86.13,100.83,83.64,84.33
330349,364.46999999999997,24.87,55.01,58.1,180.12,391.79999999999995,966.06,418.79999999999995,208.53000000000003,127.13,469.68,3319.26,24.3,24.87,86.13,100.83,26.88,24.3
342505,115.9,79.59,56.56,188.10000000000002,180.12,391.79999999999995,301.34,418.79999999999995,208.53000000000003,394.34999999999997,469.68,1079.51,72.9,79.59,86.13,100.83,83.64,84.33
342630,364.46999999999997,24.76,55.43,188.10000000000002,59.93,130.6,966.06,418.79999999999995,208.53000000000003,394.34999999999997,469.68,3319.26,72.9,24.76,28.29,100.83,83.64,84.33
342918,364.46999999999997,23.88,51.53,56.87,180.12,391.79999999999995,966.06,418.79999999999995,208.53000000000003,394.34999999999997,469.68,3319.26,23.63,23.88,86.13,100.83,24.93,23.63
345696,364.46999999999997,79.59,169.68,62.7,180.12,127.7,966.06,127.5,208.53000000000003,124.76,469.68,3319.26,72.9,79.59,86.13,100.83,83.64,28.11
377792,364.46999999999997,79.59,169.68,188.10000000000002,180.12,391.79999999999995,966.06,131.18,68.96,394.34999999999997,144.77,3319.26,72.9,79.59,86.13,32.34,83.64,26.91
403859,364.46999999999997,26.53,169.68,188.10000000000002,180.12,391.79999999999995,966.06,135.28,67.57,394.34999999999997,143.05,3319.26,72.9,26.53,86.13,31.74,83.64,27.25
404163,116.8,79.59,55.09,188.10000000000002,180.12,391.79999999999995,307.76,418.79999999999995,208.53000000000003,394.34999999999997,469.68,3319.26,72.9,79.59,86.13,100.83,83.64,84.33
405026,364.46999999999997,79.59,169.68,57.74,180.12,391.79999999999995,966.06,129.76,69.09,394.34999999999997,145.21,3319.26,72.9,79.59,86.13,31.95,26.65,84.33
411706,364.46999999999997,79.59,169.68,61.17,180.12,391.79999999999995,966.06,134.49,68.23,394.34999999999997,156.56,3319.26,72.9,79.59,86.13,32.67,27.88,84.33
422229,118.51,79.59,55.46,188.10000000000002,180.12,391.79999999999995,322.02,418.79999999999995,208.53000000000003,394.34999999999997,469.68,1106.42,72.9,79.59,86.13,100.83,83.64,84.33
432465,121.49,79.59,169.68,188.10000000000002,180.12,391.79999999999995,966.06,127.83,66.3,394.34999999999997,144.4,3319.26,72.9,79.59,86.13,30.09,83.64,84.33
494957,108.04,23.32,50.2,188.10000000000002,60.04,391.79999999999995,966.06,418.79999999999995,208.53000000000003,394.34999999999997,469.68,3319.26,72.9,23.32,86.13,100.83,83.64,23.15
696579,364.46999999999997,24.8,54.92,58.38,180.12,391.79999999999995,966.06,418.79999999999995,208.53000000000003,394.34999999999997,469.68,3319.26,72.9,24.8,86.13,100.83,26.49,25.28
