Swimmer,F1200Y,F150Y,F1100Y,F4100Y,F2100Y,F2200Y,F1500Y,F5200Y,F3100Y,F4200Y,F3200Y,F11650Y,FLM50A,F2M50A,F3M50A,F4M50A,FLM50B,F2M50B,F3M50B,F4M50B,FLM50C,F2M50C,F3M50C,F4M50C,FLM50D,F2M50D,F3M50D,F4M50D,FLF50A,F1F50A,FLF50B,F1F50B,FLF50C,F1F50C,FLF50D,F1F50D
195456,,,,59.23,,,,130.17,65.5,,142.48,,,29.97,,,,29.97,,,,29.97,,,,29.97,,,,,,,,,,
197178,,,,57.46,56.64,122.11,,129.38,,,,,26.72,,,,26.72,,,,26.72,,,,26.72,,,,,,,,,,,
213253,109.72,24.32,50.51,,,,,123.85,,,,,,,,22.9,,,,22.9,,,,22.9,,,,22.9,,22.9,,22.9,,22.9,,22.9
233796,,24.12,,56.16,55.56,124.17,,,,,,,25.96,,24.89,23.65,25.96,,24.89,23.65,25.96,,24.89,23.65,25.96,,24.89,23.65,,23.65,,23.65,,23.65,,23.65
233836,110.7,23.2,50.15,,59.24,,,,,,,,,,,22.66,,,,22.66,,,,22.66,,,,22.66,23.74,22.66,23.74,22.66,23.74,22.66,23.74,22.66
256012,,,,,,122.61,314.99,132.41,,125.45,,,28.54,,,,28.54,,,,28.54,,,,28.54,,,,,,,,,,,
271442,,,,,,,303.16,139.6,66.69,,,1046.03,,,,,,,,,,,,,,,,,,,,,,,,
271492,,,,,,,,,68.85,,147.36,,,31.69,,,,31.69,,,,31.69,,,,31.69,,,,,,,,,,
273646,,,,55.47,57.13,,,128.69,,122.84,,,,,25.25,,,,25.25,,,,25.25,,,,25.25,,,,,,,,,
273907,,,,60.44,,,,134.99,68.62,131.45,149.1,,,,28.68,,,,28.68,,,,28.68,,,,28.68,,,,,,,,,
282290,121.39,24.36,53.01,59.91,,,,,,,,,28.71,,,23.78,28.71,,,23.78,28.71,,,23.78,28.71,,,23.78,,23.78,,23.78,,23.78,,23.78
291023,,24.32,53.37,,57.55,127.98,,,,,,,27.12,,,23.91,27.12,,,23.91,27.12,,,23.91,27.12,,,23.91,,23.91,,23.91,,23.91,,23.91
323285,115.61,23.82,52.11,58.6,,,,,,,,,,,,23.4,,,,23.4,,,,23.4,,,,23.4,24.08,23.4,24.08,23.4,24.08,23.4,24.08,23.4
330114,112.64,,53.85,,,,300.36,,69.38,,151.31,1042.3,,,,,,,,,,,,,,,,,,,,,,,,
330349,,24.87,55.01,57.53,,,,,,127.13,,,,,26.88,24.3,,,26.88,24.3,,,26.88,24.3,,,26.88,24.3,,24.3,,24.3,,24.3,,24.3
342505,110.35,,56.56,,,,301.34,,,,,1021.37,,,,,,,,,,,,,,,,,,,,,,,,
342630,,24.34,55.43,,59.39,130.6,,,,,,,28.29,,,23.97,28.29,,,23.97,28.29,,,23.97,28.29,,,23.97,,23.97,,23.97,,23.97,,23.97
342918,,23.82,51.5,56.84,,,,,,,,,,,24.93,23.16,,,24.93,23.16,,,24.93,23.16,,,24.93,23.16,,23.16,,23.16,,23.16,,23.16
345696,,,,62.7,,127.7,,126.83,,121.48,,,29.47,,,28.11,29.47,,,28.11,29.47,,,28.11,29.47,,,28.11,,28.11,,28.11,,28.11,,28.11
377792,,,,,,,,131.18,68.96,,144.77,,,32.34,,26.91,,32.34,,26.91,,32.34,,26.91,,32.34,,26.91,,26.91,,26.91,,26.91,,26.91
403859,,26.53,,,,,,133.96,66.64,,143.05,,,31.74,,27.25,,31.74,,27.25,,31.74,,27.25,,31.74,,27.25,,27.25,,27.25,,27.25,,27.25
404163,116.8,,55.09,,,,298.46,128.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405026,,,,57.74,,,,128.61,66.92,,140.26,,,31.33,26.65,,,31.33,26.65,,,31.33,26.65,,,31.33,26.65,,,,,,,,,
411706,,,,61.17,,,,134.49,68.23,,154.77,,,31.03,27.88,,,31.03,27.88,,,31.03,27.88,,,31.03,27.88,,,,,,,,,
422229,117.4,,55.46,,,,307.53,,,,,1099.05,,,,,,,,,,,,,,,,,,,,,,,,
432465,121.49,,,,,,,126.7,65.82,,144.4,,,29.84,,,,29.84,,,,29.84,,,,29.84,,,,,,,,,,
494957,106.05,22.85,50.11,,60.04,,,,,,,,,,,23.15,,,,23.15,,,,23.15,,,,23.15,23.28,23.15,23.28,23.15,23.28,23.15,23.28,23.15
696579,,24.8,54.92,58.38,,,,,,,,,,,26.49,25.28,,,26.49,25.28,,,26.49,25.28,,,26.49,25.28,,25.28,,25.28,,25.28,,25.28
